2022-01-01 22:34:27.112 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-02 00:23:19.123 | INFO     | __main__:<module>:244 - | epoch : 95 | val done |
2022-01-02 00:23:59.088 | INFO     | __main__:<module>:111 - | epoch : 96 | training done |
2022-01-02 00:24:12.819 | INFO     | __main__:<module>:244 - | epoch : 96 | val done |
2022-01-02 00:24:52.862 | INFO     | __main__:<module>:111 - | epoch : 97 | training done |
2022-01-02 00:25:06.699 | INFO     | __main__:<module>:244 - | epoch : 97 | val done |
2022-01-02 00:25:46.740 | INFO     | __main__:<module>:111 - | epoch : 98 | training done |
2022-01-02 00:26:00.277 | INFO     | __main__:<module>:244 - | epoch : 98 | val done |
2022-01-02 00:26:40.325 | INFO     | __main__:<module>:111 - | epoch : 99 | training done |
2022-01-02 00:26:53.850 | INFO     | __main__:<module>:244 - | epoch : 99 | val done |
2022-01-02 00:27:33.814 | INFO     | __main__:<module>:111 - | epoch : 100 | training done |
2022-01-02 00:27:47.295 | INFO     | __main__:<module>:244 - | epoch : 100 | val done |
2022-01-02 00:28:27.242 | INFO     | __main__:<module>:111 - | epoch : 101 | training done |
2022-01-02 00:28:41.006 | INFO     | __main__:<module>:244 - | epoch : 101 | val done |
2022-01-02 00:29:20.979 | INFO     | __main__:<module>:111 - | epoch : 102 | training done |
2022-01-02 00:29:34.852 | INFO     | __main__:<module>:244 - | epoch : 102 | val done |
2022-01-02 00:30:14.865 | INFO     | __main__:<module>:111 - | epoch : 103 | training done |
2022-01-02 00:30:28.595 | INFO     | __main__:<module>:244 - | epoch : 103 | val done |
2022-01-02 00:31:08.633 | INFO     | __main__:<module>:111 - | epoch : 104 | training done |
2022-01-02 00:31:22.149 | INFO     | __main__:<module>:244 - | epoch : 104 | val done |
2022-01-02 00:32:02.090 | INFO     | __main__:<module>:111 - | epoch : 105 | training done |
2022-01-02 00:32:15.639 | INFO     | __main__:<module>:244 - | epoch : 105 | val done |
2022-01-02 00:32:55.609 | INFO     | __main__:<module>:111 - | epoch : 106 | training done |
2022-01-02 00:33:09.219 | INFO     | __main__:<module>:244 - | epoch : 106 | val done |
2022-01-02 00:33:49.260 | INFO     | __main__:<module>:111 - | epoch : 107 | training done |
2022-01-02 00:34:02.933 | INFO     | __main__:<module>:244 - | epoch : 107 | val done |
2022-01-02 00:34:42.945 | INFO     | __main__:<module>:111 - | epoch : 108 | training done |
2022-01-02 00:34:56.570 | INFO     | __main__:<module>:244 - | epoch : 108 | val done |
2022-01-02 00:35:36.684 | INFO     | __main__:<module>:111 - | epoch : 109 | training done |
2022-01-02 00:35:50.492 | INFO     | __main__:<module>:244 - | epoch : 109 | val done |
2022-01-02 00:36:30.508 | INFO     | __main__:<module>:111 - | epoch : 110 | training done |
2022-01-02 00:36:44.339 | INFO     | __main__:<module>:244 - | epoch : 110 | val done |
2022-01-02 00:37:24.260 | INFO     | __main__:<module>:111 - | epoch : 111 | training done |
2022-01-02 00:37:37.903 | INFO     | __main__:<module>:244 - | epoch : 111 | val done |
2022-01-02 00:38:17.874 | INFO     | __main__:<module>:111 - | epoch : 112 | training done |
2022-01-02 00:38:31.705 | INFO     | __main__:<module>:244 - | epoch : 112 | val done |
2022-01-02 00:39:11.612 | INFO     | __main__:<module>:111 - | epoch : 113 | training done |
2022-01-02 00:39:25.137 | INFO     | __main__:<module>:244 - | epoch : 113 | val done |
2022-01-02 00:40:05.063 | INFO     | __main__:<module>:111 - | epoch : 114 | training done |
2022-01-02 00:40:18.574 | INFO     | __main__:<module>:244 - | epoch : 114 | val done |
2022-01-02 00:40:58.469 | INFO     | __main__:<module>:111 - | epoch : 115 | training done |
2022-01-02 00:41:11.860 | INFO     | __main__:<module>:244 - | epoch : 115 | val done |
2022-01-02 00:41:51.834 | INFO     | __main__:<module>:111 - | epoch : 116 | training done |
2022-01-02 00:42:05.642 | INFO     | __main__:<module>:244 - | epoch : 116 | val done |
2022-01-02 00:42:45.643 | INFO     | __main__:<module>:111 - | epoch : 117 | training done |
2022-01-02 00:42:59.346 | INFO     | __main__:<module>:244 - | epoch : 117 | val done |
2022-01-02 00:43:39.330 | INFO     | __main__:<module>:111 - | epoch : 118 | training done |
2022-01-02 00:43:52.926 | INFO     | __main__:<module>:244 - | epoch : 118 | val done |
2022-01-02 00:44:33.013 | INFO     | __main__:<module>:111 - | epoch : 119 | training done |
2022-01-02 00:44:46.762 | INFO     | __main__:<module>:244 - | epoch : 119 | val done |
2022-01-02 00:45:26.708 | INFO     | __main__:<module>:111 - | epoch : 120 | training done |
2022-01-02 00:45:40.294 | INFO     | __main__:<module>:244 - | epoch : 120 | val done |
2022-01-02 00:46:20.288 | INFO     | __main__:<module>:111 - | epoch : 121 | training done |
2022-01-02 00:46:34.107 | INFO     | __main__:<module>:244 - | epoch : 121 | val done |
2022-01-02 00:47:14.165 | INFO     | __main__:<module>:111 - | epoch : 122 | training done |
2022-01-02 00:47:27.963 | INFO     | __main__:<module>:244 - | epoch : 122 | val done |
2022-01-02 00:48:07.956 | INFO     | __main__:<module>:111 - | epoch : 123 | training done |
2022-01-02 00:48:21.514 | INFO     | __main__:<module>:244 - | epoch : 123 | val done |
2022-01-02 00:49:01.467 | INFO     | __main__:<module>:111 - | epoch : 124 | training done |
2022-01-02 00:49:15.216 | INFO     | __main__:<module>:244 - | epoch : 124 | val done |
2022-01-02 00:49:55.175 | INFO     | __main__:<module>:111 - | epoch : 125 | training done |
2022-01-02 00:50:08.932 | INFO     | __main__:<module>:244 - | epoch : 125 | val done |
2022-01-02 00:50:48.963 | INFO     | __main__:<module>:111 - | epoch : 126 | training done |
2022-01-02 00:51:02.809 | INFO     | __main__:<module>:244 - | epoch : 126 | val done |
2022-01-02 00:51:42.841 | INFO     | __main__:<module>:111 - | epoch : 127 | training done |
