2022-01-04 18:37:42.918 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2860 | loss : 0.0030465973007095444|
2022-01-04 18:38:11.073 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2880 | loss : 0.003047996759414673|
2022-01-04 18:38:39.209 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2900 | loss : 0.003108907239190463|
2022-01-04 18:39:07.458 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2920 | loss : 0.0031935182336258563|
2022-01-04 18:39:35.625 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2940 | loss : 0.0030100682965752217|
2022-01-04 18:40:03.850 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2960 | loss : 0.0031490274377771327|
2022-01-04 18:40:31.899 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2980 | loss : 0.0031089059458482985|
2022-01-04 18:41:00.082 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3000 | loss : 0.0029072866439819336|
2022-01-04 18:41:28.308 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3020 | loss : 0.003000453607925516|
2022-01-04 18:41:56.514 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3040 | loss : 0.002854834104839124|
2022-01-04 18:42:24.794 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3060 | loss : 0.0029045005249821285|
2022-01-04 18:42:53.050 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3080 | loss : 0.00284521146254106|
2022-01-04 18:43:21.277 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3100 | loss : 0.002725113284203314|
2022-01-04 18:43:49.510 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3120 | loss : 0.0027708982809995994|
2022-01-04 18:44:17.695 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3140 | loss : 0.002757199706545301|
2022-01-04 18:44:45.825 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3160 | loss : 0.002788582331017603|
2022-01-04 18:45:14.042 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3180 | loss : 0.002666478786828383|
2022-01-04 18:45:42.292 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3200 | loss : 0.002864487171173096|
2022-01-04 18:46:10.492 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3220 | loss : 0.002712784346586429|
2022-01-04 18:46:38.731 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3240 | loss : 0.002724807056379907|
2022-01-04 18:47:06.973 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3260 | loss : 0.0025913583720388587|
2022-01-04 18:47:35.178 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3280 | loss : 0.002593931628436577|
2022-01-04 18:48:03.294 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3300 | loss : 0.0027818769397157613|
2022-01-04 18:48:31.586 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3320 | loss : 0.0025408891310174783|
