2022-01-02 03:29:19.507 | INFO     | __main__:<module>:111 - | epoch : 53 | training done |
2022-01-02 03:29:38.217 | INFO     | __main__:<module>:244 - | epoch : 53 | val done |
2022-01-02 03:30:55.286 | INFO     | __main__:<module>:111 - | epoch : 54 | training done |
2022-01-02 03:31:14.385 | INFO     | __main__:<module>:244 - | epoch : 54 | val done |
2022-01-02 03:32:31.376 | INFO     | __main__:<module>:111 - | epoch : 55 | training done |
2022-01-02 03:32:50.211 | INFO     | __main__:<module>:244 - | epoch : 55 | val done |
2022-01-02 03:34:06.945 | INFO     | __main__:<module>:111 - | epoch : 56 | training done |
2022-01-02 03:34:25.093 | INFO     | __main__:<module>:244 - | epoch : 56 | val done |
2022-01-02 03:35:44.183 | INFO     | __main__:<module>:111 - | epoch : 57 | training done |
2022-01-02 03:36:01.186 | INFO     | __main__:<module>:244 - | epoch : 57 | val done |
2022-01-02 03:37:24.071 | INFO     | __main__:<module>:111 - | epoch : 58 | training done |
2022-01-02 03:37:40.809 | INFO     | __main__:<module>:240 - | epoch : 58 | CVC-300 : 0.9346639692344203 | CVC-ClinicDB : 0.948936606696527 | CVC-ColonDB : 0.8775930928461046 | ETIS-LaribPolypDB : 0.8718989157606457 | Kvasir : 0.9280911719094411 |
2022-01-02 03:37:40.810 | CRITICAL | __main__:<module>:241 - | epoch : 58 | best_val_dice_score : 0.9122367512894278 |
2022-01-02 03:39:04.821 | INFO     | __main__:<module>:111 - | epoch : 59 | training done |
2022-01-02 03:39:21.878 | INFO     | __main__:<module>:244 - | epoch : 59 | val done |
2022-01-02 03:40:41.226 | INFO     | __main__:<module>:111 - | epoch : 60 | training done |
2022-01-02 03:40:59.738 | INFO     | __main__:<module>:244 - | epoch : 60 | val done |
2022-01-02 03:42:16.691 | INFO     | __main__:<module>:111 - | epoch : 61 | training done |
2022-01-02 03:42:35.664 | INFO     | __main__:<module>:244 - | epoch : 61 | val done |
2022-01-02 03:43:52.557 | INFO     | __main__:<module>:111 - | epoch : 62 | training done |
2022-01-02 03:44:11.378 | INFO     | __main__:<module>:240 - | epoch : 62 | CVC-300 : 0.9376812859740015 | CVC-ClinicDB : 0.940825313761688 | CVC-ColonDB : 0.8779746658991906 | ETIS-LaribPolypDB : 0.8748474414994644 | Kvasir : 0.9302499735839608 |
2022-01-02 03:44:11.378 | CRITICAL | __main__:<module>:241 - | epoch : 62 | best_val_dice_score : 0.9123157361436609 |
2022-01-02 03:45:28.384 | INFO     | __main__:<module>:111 - | epoch : 63 | training done |
2022-01-02 03:45:47.369 | INFO     | __main__:<module>:244 - | epoch : 63 | val done |
2022-01-02 03:47:04.447 | INFO     | __main__:<module>:111 - | epoch : 64 | training done |
2022-01-02 03:47:23.573 | INFO     | __main__:<module>:244 - | epoch : 64 | val done |
2022-01-02 03:48:40.086 | INFO     | __main__:<module>:111 - | epoch : 65 | training done |
2022-01-02 03:48:58.525 | INFO     | __main__:<module>:244 - | epoch : 65 | val done |
2022-01-02 03:50:18.186 | INFO     | __main__:<module>:111 - | epoch : 66 | training done |
2022-01-02 03:50:35.442 | INFO     | __main__:<module>:244 - | epoch : 66 | val done |
2022-01-02 03:51:59.150 | INFO     | __main__:<module>:111 - | epoch : 67 | training done |
2022-01-02 03:52:15.589 | INFO     | __main__:<module>:244 - | epoch : 67 | val done |
2022-01-02 03:53:39.311 | INFO     | __main__:<module>:111 - | epoch : 68 | training done |
2022-01-02 03:53:56.671 | INFO     | __main__:<module>:244 - | epoch : 68 | val done |
2022-01-02 03:55:16.151 | INFO     | __main__:<module>:111 - | epoch : 69 | training done |
2022-01-02 03:55:34.320 | INFO     | __main__:<module>:244 - | epoch : 69 | val done |
2022-01-02 03:56:50.912 | INFO     | __main__:<module>:111 - | epoch : 70 | training done |
2022-01-02 03:57:09.791 | INFO     | __main__:<module>:244 - | epoch : 70 | val done |
2022-01-02 03:58:26.468 | INFO     | __main__:<module>:111 - | epoch : 71 | training done |
2022-01-02 03:58:45.283 | INFO     | __main__:<module>:244 - | epoch : 71 | val done |
2022-01-02 04:00:02.350 | INFO     | __main__:<module>:111 - | epoch : 72 | training done |
2022-01-02 04:00:21.114 | INFO     | __main__:<module>:244 - | epoch : 72 | val done |
2022-01-02 04:01:37.810 | INFO     | __main__:<module>:111 - | epoch : 73 | training done |
2022-01-02 04:01:56.675 | INFO     | __main__:<module>:244 - | epoch : 73 | val done |
2022-01-02 04:03:13.428 | INFO     | __main__:<module>:111 - | epoch : 74 | training done |
2022-01-02 04:03:31.762 | INFO     | __main__:<module>:244 - | epoch : 74 | val done |
2022-01-02 04:04:50.401 | INFO     | __main__:<module>:111 - | epoch : 75 | training done |
2022-01-02 04:05:08.158 | INFO     | __main__:<module>:244 - | epoch : 75 | val done |
2022-01-02 04:06:30.677 | INFO     | __main__:<module>:111 - | epoch : 76 | training done |
2022-01-02 04:06:46.580 | INFO     | __main__:<module>:244 - | epoch : 76 | val done |
2022-01-02 04:08:10.288 | INFO     | __main__:<module>:111 - | epoch : 77 | training done |
2022-01-02 04:08:27.068 | INFO     | __main__:<module>:244 - | epoch : 77 | val done |
2022-01-02 04:09:47.434 | INFO     | __main__:<module>:111 - | epoch : 78 | training done |
2022-01-02 04:10:05.881 | INFO     | __main__:<module>:244 - | epoch : 78 | val done |
2022-01-02 04:11:22.656 | INFO     | __main__:<module>:111 - | epoch : 79 | training done |
2022-01-02 04:11:41.765 | INFO     | __main__:<module>:244 - | epoch : 79 | val done |
2022-01-02 04:12:58.877 | INFO     | __main__:<module>:111 - | epoch : 80 | training done |
2022-01-02 04:13:17.920 | INFO     | __main__:<module>:244 - | epoch : 80 | val done |
2022-01-02 04:14:34.950 | INFO     | __main__:<module>:111 - | epoch : 81 | training done |
2022-01-02 04:14:53.840 | INFO     | __main__:<module>:244 - | epoch : 81 | val done |
2022-01-02 04:16:10.685 | INFO     | __main__:<module>:111 - | epoch : 82 | training done |
2022-01-02 04:16:29.783 | INFO     | __main__:<module>:244 - | epoch : 82 | val done |
2022-01-02 04:17:46.342 | INFO     | __main__:<module>:111 - | epoch : 83 | training done |
2022-01-02 04:18:04.896 | INFO     | __main__:<module>:244 - | epoch : 83 | val done |
2022-01-02 04:19:23.383 | INFO     | __main__:<module>:111 - | epoch : 84 | training done |
2022-01-02 04:19:40.906 | INFO     | __main__:<module>:244 - | epoch : 84 | val done |
2022-01-02 04:21:03.168 | INFO     | __main__:<module>:111 - | epoch : 85 | training done |
2022-01-02 04:21:19.262 | INFO     | __main__:<module>:244 - | epoch : 85 | val done |
2022-01-02 04:22:42.988 | INFO     | __main__:<module>:111 - | epoch : 86 | training done |
2022-01-02 04:22:59.800 | INFO     | __main__:<module>:244 - | epoch : 86 | val done |
2022-01-02 04:24:20.248 | INFO     | __main__:<module>:111 - | epoch : 87 | training done |
2022-01-02 04:24:38.343 | INFO     | __main__:<module>:244 - | epoch : 87 | val done |
2022-01-02 04:25:55.192 | INFO     | __main__:<module>:111 - | epoch : 88 | training done |
2022-01-02 04:26:13.987 | INFO     | __main__:<module>:244 - | epoch : 88 | val done |
2022-01-02 04:27:30.761 | INFO     | __main__:<module>:111 - | epoch : 89 | training done |
2022-01-02 04:27:49.755 | INFO     | __main__:<module>:244 - | epoch : 89 | val done |
2022-01-02 04:29:06.770 | INFO     | __main__:<module>:111 - | epoch : 90 | training done |
2022-01-02 04:29:25.655 | INFO     | __main__:<module>:244 - | epoch : 90 | val done |
2022-01-02 04:30:42.700 | INFO     | __main__:<module>:111 - | epoch : 91 | training done |
2022-01-02 04:31:01.699 | INFO     | __main__:<module>:244 - | epoch : 91 | val done |
2022-01-02 04:32:18.485 | INFO     | __main__:<module>:111 - | epoch : 92 | training done |
2022-01-02 04:32:37.362 | INFO     | __main__:<module>:244 - | epoch : 92 | val done |
2022-01-02 04:33:55.238 | INFO     | __main__:<module>:111 - | epoch : 93 | training done |
2022-01-02 04:34:12.907 | INFO     | __main__:<module>:244 - | epoch : 93 | val done |
2022-01-02 04:35:34.922 | INFO     | __main__:<module>:111 - | epoch : 94 | training done |
2022-01-02 04:35:50.947 | INFO     | __main__:<module>:244 - | epoch : 94 | val done |
2022-01-02 04:37:14.926 | INFO     | __main__:<module>:111 - | epoch : 95 | training done |
2022-01-02 04:37:31.728 | INFO     | __main__:<module>:244 - | epoch : 95 | val done |
2022-01-02 04:38:52.977 | INFO     | __main__:<module>:111 - | epoch : 96 | training done |
2022-01-02 04:39:11.050 | INFO     | __main__:<module>:244 - | epoch : 96 | val done |
2022-01-02 04:40:27.698 | INFO     | __main__:<module>:111 - | epoch : 97 | training done |
2022-01-02 04:40:46.687 | INFO     | __main__:<module>:244 - | epoch : 97 | val done |
2022-01-02 04:42:03.699 | INFO     | __main__:<module>:111 - | epoch : 98 | training done |
2022-01-02 04:42:22.783 | INFO     | __main__:<module>:244 - | epoch : 98 | val done |
2022-01-02 04:43:39.490 | INFO     | __main__:<module>:111 - | epoch : 99 | training done |
2022-01-02 04:43:58.333 | INFO     | __main__:<module>:244 - | epoch : 99 | val done |
2022-01-02 04:45:15.489 | INFO     | __main__:<module>:111 - | epoch : 100 | training done |
2022-01-02 04:45:34.460 | INFO     | __main__:<module>:244 - | epoch : 100 | val done |
2022-01-02 04:46:51.377 | INFO     | __main__:<module>:111 - | epoch : 101 | training done |
2022-01-02 04:47:10.254 | INFO     | __main__:<module>:244 - | epoch : 101 | val done |
2022-01-02 04:48:27.969 | INFO     | __main__:<module>:111 - | epoch : 102 | training done |
2022-01-02 04:48:45.719 | INFO     | __main__:<module>:244 - | epoch : 102 | val done |
2022-01-02 04:50:07.391 | INFO     | __main__:<module>:111 - | epoch : 103 | training done |
2022-01-02 04:50:23.931 | INFO     | __main__:<module>:244 - | epoch : 103 | val done |
2022-01-02 04:51:47.992 | INFO     | __main__:<module>:111 - | epoch : 104 | training done |
2022-01-02 04:52:04.442 | INFO     | __main__:<module>:244 - | epoch : 104 | val done |
2022-01-02 04:53:26.092 | INFO     | __main__:<module>:111 - | epoch : 105 | training done |
2022-01-02 04:53:44.282 | INFO     | __main__:<module>:244 - | epoch : 105 | val done |
2022-01-02 04:55:01.131 | INFO     | __main__:<module>:111 - | epoch : 106 | training done |
2022-01-02 04:55:19.945 | INFO     | __main__:<module>:244 - | epoch : 106 | val done |
2022-01-02 04:56:36.777 | INFO     | __main__:<module>:111 - | epoch : 107 | training done |
2022-01-02 04:56:55.726 | INFO     | __main__:<module>:244 - | epoch : 107 | val done |
2022-01-02 04:58:12.691 | INFO     | __main__:<module>:111 - | epoch : 108 | training done |
2022-01-02 04:58:31.480 | INFO     | __main__:<module>:244 - | epoch : 108 | val done |
2022-01-02 04:59:48.348 | INFO     | __main__:<module>:111 - | epoch : 109 | training done |
2022-01-02 05:00:07.149 | INFO     | __main__:<module>:244 - | epoch : 109 | val done |
2022-01-02 05:01:24.186 | INFO     | __main__:<module>:111 - | epoch : 110 | training done |
2022-01-02 05:01:42.908 | INFO     | __main__:<module>:244 - | epoch : 110 | val done |
2022-01-02 05:02:59.852 | INFO     | __main__:<module>:111 - | epoch : 111 | training done |
2022-01-02 05:03:17.676 | INFO     | __main__:<module>:244 - | epoch : 111 | val done |
2022-01-02 05:04:39.253 | INFO     | __main__:<module>:111 - | epoch : 112 | training done |
2022-01-02 05:04:55.523 | INFO     | __main__:<module>:244 - | epoch : 112 | val done |
2022-01-02 05:06:19.314 | INFO     | __main__:<module>:111 - | epoch : 113 | training done |
2022-01-02 05:06:35.327 | INFO     | __main__:<module>:244 - | epoch : 113 | val done |
2022-01-02 05:07:57.231 | INFO     | __main__:<module>:111 - | epoch : 114 | training done |
2022-01-02 05:08:14.986 | INFO     | __main__:<module>:244 - | epoch : 114 | val done |
2022-01-02 05:09:32.560 | INFO     | __main__:<module>:111 - | epoch : 115 | training done |
2022-01-02 05:09:51.605 | INFO     | __main__:<module>:244 - | epoch : 115 | val done |
2022-01-02 05:11:08.115 | INFO     | __main__:<module>:111 - | epoch : 116 | training done |
2022-01-02 05:11:26.869 | INFO     | __main__:<module>:244 - | epoch : 116 | val done |
2022-01-02 05:12:43.468 | INFO     | __main__:<module>:111 - | epoch : 117 | training done |
2022-01-02 05:13:02.292 | INFO     | __main__:<module>:244 - | epoch : 117 | val done |
2022-01-02 05:14:18.940 | INFO     | __main__:<module>:111 - | epoch : 118 | training done |
2022-01-02 05:14:37.991 | INFO     | __main__:<module>:244 - | epoch : 118 | val done |
2022-01-02 05:15:54.770 | INFO     | __main__:<module>:111 - | epoch : 119 | training done |
2022-01-02 05:16:13.619 | INFO     | __main__:<module>:244 - | epoch : 119 | val done |
2022-01-02 05:17:30.618 | INFO     | __main__:<module>:111 - | epoch : 120 | training done |
2022-01-02 05:17:48.480 | INFO     | __main__:<module>:244 - | epoch : 120 | val done |
2022-01-02 05:19:09.138 | INFO     | __main__:<module>:111 - | epoch : 121 | training done |
2022-01-02 05:19:25.894 | INFO     | __main__:<module>:244 - | epoch : 121 | val done |
2022-01-02 05:20:49.961 | INFO     | __main__:<module>:111 - | epoch : 122 | training done |
